Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Environment verified: macOS detected with Metal (MPS) hardware acceleration available.

Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 2, 'n_head': 2, 'n_kv_head': 2, 'n_embd': 256, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 2,097,152
  lm_head                 : 2,097,152
  transformer_matrices    : 1,310,784
  scalars                 : 4
  total                   : 7,602,244
Estimated FLOPs per token: 3.303053e+07
Scaling AdamW LRs by 1/sqrt(256/768) = 1.732051
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.010973 | lrm: 1.00 | dt: 2154ms | tok/sec: 15,214 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.930954 | lrm: 1.00 | dt: 899ms | tok/sec: 36,450 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.682712 | lrm: 1.00 | dt: 813ms | tok/sec: 40,284 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.356075 | lrm: 1.00 | dt: 926ms | tok/sec: 35,391 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 8.053289 | lrm: 1.00 | dt: 807ms | tok/sec: 40,615 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.788616 | lrm: 1.00 | dt: 808ms | tok/sec: 40,575 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.568250 | lrm: 1.00 | dt: 911ms | tok/sec: 35,951 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.383761 | lrm: 1.00 | dt: 925ms | tok/sec: 35,413 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.217803 | lrm: 1.00 | dt: 912ms | tok/sec: 35,913 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 7.075221 | lrm: 1.00 | dt: 913ms | tok/sec: 35,883 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.949702 | lrm: 1.00 | dt: 929ms | tok/sec: 35,269 | mfu: 0.1% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.837407 | lrm: 1.00 | dt: 845ms | tok/sec: 38,787 | mfu: 0.1% | epoch: 1 | remaining: 299s    
step 00012 (0.3%) | loss: 6.743113 | lrm: 1.00 | dt: 808ms | tok/sec: 40,546 | mfu: 0.1% | epoch: 1 | remaining: 298s    
step 00013 (0.6%) | loss: 6.650439 | lrm: 1.00 | dt: 1023ms | tok/sec: 32,039 | mfu: 0.1% | epoch: 1 | remaining: 297s    
step 00014 (0.9%) | loss: 6.564678 | lrm: 1.00 | dt: 933ms | tok/sec: 35,113 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00015 (1.2%) | loss: 6.497015 | lrm: 1.00 | dt: 803ms | tok/sec: 40,792 | mfu: 0.1% | epoch: 1 | remaining: 296s    
step 00016 (1.5%) | loss: 6.426228 | lrm: 1.00 | dt: 802ms | tok/sec: 40,867 | mfu: 0.1% | epoch: 1 | remaining: 295s    
step 00017 (1.7%) | loss: 6.366342 | lrm: 1.00 | dt: 810ms | tok/sec: 40,451 | mfu: 0.1% | epoch: 1 | remaining: 294s    
step 00306 (83.6%) | loss: 4.310849 | lrm: 0.47 | dt: 805ms | tok/sec: 40,706 | mfu: 0.1% | epoch: 1 | remaining: 48s    
step 00307 (83.9%) | loss: 4.305469 | lrm: 0.46 | dt: 825ms | tok/sec: 39,721 | mfu: 0.1% | epoch: 1 | remaining: 48s    
step 00308 (84.2%) | loss: 4.289615 | lrm: 0.45 | dt: 884ms | tok/sec: 37,067 | mfu: 0.1% | epoch: 1 | remaining: 47s    
step 00309 (84.5%) | loss: 4.281391 | lrm: 0.44 | dt: 822ms | tok/sec: 39,859 | mfu: 0.1% | epoch: 1 | remaining: 46s    
step 00310 (84.7%) | loss: 4.274955 | lrm: 0.44 | dt: 919ms | tok/sec: 35,663 | mfu: 0.1% | epoch: 1 | remaining: 45s    
step 00311 (85.0%) | loss: 4.273143 | lrm: 0.43 | dt: 964ms | tok/sec: 33,978 | mfu: 0.1% | epoch: 1 | remaining: 44s    
step 00312 (85.4%) | loss: 4.257241 | lrm: 0.42 | dt: 894ms | tok/sec: 36,657 | mfu: 0.1% | epoch: 1 | remaining: 43s    
step 00313 (85.7%) | loss: 4.248465 | lrm: 0.41 | dt: 1002ms | tok/sec: 32,698 | mfu: 0.1% | epoch: 1 | remaining: 42s    
step 00314 (86.0%) | loss: 4.249678 | lrm: 0.40 | dt: 909ms | tok/sec: 36,054 | mfu: 0.1% | epoch: 1 | remaining: 41s    
step 00315 (86.3%) | loss: 4.250468 | lrm: 0.39 | dt: 822ms | tok/sec: 39,856 | mfu: 0.1% | epoch: 1 | remaining: 40s    
step 00316 (86.6%) | loss: 4.244263 | lrm: 0.38 | dt: 958ms | tok/sec: 34,193 | mfu: 0.1% | epoch: 1 | remaining: 39s    
step 00317 (86.9%) | loss: 4.246723 | lrm: 0.37 | dt: 972ms | tok/sec: 33,720 | mfu: 0.1% | epoch: 1 | remaining: 38s    
step 00318 (87.2%) | loss: 4.251972 | lrm: 0.37 | dt: 825ms | tok/sec: 39,710 | mfu: 0.1% | epoch: 1 | remaining: 38s    
step 00319 (87.5%) | loss: 4.248980 | lrm: 0.36 | dt: 1011ms | tok/sec: 32,418 | mfu: 0.1% | epoch: 1 | remaining: 37s    
step 00320 (87.8%) | loss: 4.246388 | lrm: 0.35 | dt: 889ms | tok/sec: 36,861 | mfu: 0.1% | epoch: 1 | remaining: 36s    
step 00321 (88.1%) | loss: 4.242145 | lrm: 0.34 | dt: 809ms | tok/sec: 40,526 | mfu: 0.1% | epoch: 1 | remaining: 35s    
step 00322 (88.4%) | loss: 4.248731 | lrm: 0.33 | dt: 986ms | tok/sec: 33,217 | mfu: 0.1% | epoch: 1 | remaining: 34s    
step 00323 (88.7%) | loss: 4.236153 | lrm: 0.32 | dt: 947ms | tok/sec: 34,613 | mfu: 0.1% | epoch: 1 | remaining: 33s    
step 00324 (89.0%) | loss: 4.247513 | lrm: 0.31 | dt: 826ms | tok/sec: 39,687 | mfu: 0.1% | epoch: 1 | remaining: 32s    
step 00325 (89.3%) | loss: 4.244109 | lrm: 0.31 | dt: 989ms | tok/sec: 33,129 | mfu: 0.1% | epoch: 1 | remaining: 31s    
step 00326 (89.6%) | loss: 4.233987 | lrm: 0.30 | dt: 859ms | tok/sec: 38,149 | mfu: 0.1% | epoch: 1 | remaining: 30s    
step 00327 (89.9%) | loss: 4.228871 | lrm: 0.29 | dt: 909ms | tok/sec: 36,055 | mfu: 0.1% | epoch: 1 | remaining: 29s    
step 00328 (90.2%) | loss: 4.228103 | lrm: 0.28 | dt: 847ms | tok/sec: 38,672 | mfu: 0.1% | epoch: 1 | remaining: 28s    
step 00329 (90.5%) | loss: 4.215739 | lrm: 0.27 | dt: 946ms | tok/sec: 34,654 | mfu: 0.1% | epoch: 1 | remaining: 28s    
step 00330 (90.8%) | loss: 4.209519 | lrm: 0.26 | dt: 942ms | tok/sec: 34,781 | mfu: 0.1% | epoch: 1 | remaining: 27s    
step 00331 (91.1%) | loss: 4.208698 | lrm: 0.25 | dt: 810ms | tok/sec: 40,451 | mfu: 0.1% | epoch: 1 | remaining: 26s    
step 00332 (91.4%) | loss: 4.214814 | lrm: 0.25 | dt: 931ms | tok/sec: 35,211 | mfu: 0.1% | epoch: 1 | remaining: 25s    
step 00333 (91.7%) | loss: 4.202519 | lrm: 0.24 | dt: 809ms | tok/sec: 40,499 | mfu: 0.1% | epoch: 1 | remaining: 24s    
step 00334 (92.0%) | loss: 4.204799 | lrm: 0.23 | dt: 805ms | tok/sec: 40,715 | mfu: 0.1% | epoch: 1 | remaining: 23s    
step 00335 (92.3%) | loss: 4.197317 | lrm: 0.22 | dt: 968ms | tok/sec: 33,854 | mfu: 0.1% | epoch: 1 | remaining: 22s    
step 00336 (92.6%) | loss: 4.188665 | lrm: 0.21 | dt: 988ms | tok/sec: 33,176 | mfu: 0.1% | epoch: 1 | remaining: 21s    
step 00337 (92.9%) | loss: 4.196336 | lrm: 0.20 | dt: 810ms | tok/sec: 40,464 | mfu: 0.1% | epoch: 1 | remaining: 20s    
step 00338 (93.2%) | loss: 4.194764 | lrm: 0.19 | dt: 939ms | tok/sec: 34,884 | mfu: 0.1% | epoch: 1 | remaining: 20s    
step 00339 (93.5%) | loss: 4.188743 | lrm: 0.19 | dt: 817ms | tok/sec: 40,121 | mfu: 0.1% | epoch: 1 | remaining: 19s    
step 00340 (93.8%) | loss: 4.196234 | lrm: 0.18 | dt: 945ms | tok/sec: 34,678 | mfu: 0.1% | epoch: 1 | remaining: 18s    
step 00341 (94.1%) | loss: 4.210824 | lrm: 0.17 | dt: 847ms | tok/sec: 38,674 | mfu: 0.1% | epoch: 1 | remaining: 17s    
step 00342 (94.4%) | loss: 4.191561 | lrm: 0.16 | dt: 907ms | tok/sec: 36,138 | mfu: 0.1% | epoch: 1 | remaining: 16s    
step 00343 (94.7%) | loss: 4.200419 | lrm: 0.15 | dt: 812ms | tok/sec: 40,362 | mfu: 0.1% | epoch: 1 | remaining: 15s    
step 00344 (94.9%) | loss: 4.201857 | lrm: 0.14 | dt: 1025ms | tok/sec: 31,979 | mfu: 0.1% | epoch: 1 | remaining: 14s    
step 00345 (95.3%) | loss: 4.193268 | lrm: 0.13 | dt: 930ms | tok/sec: 35,217 | mfu: 0.1% | epoch: 1 | remaining: 13s    
step 00346 (95.6%) | loss: 4.182577 | lrm: 0.13 | dt: 818ms | tok/sec: 40,039 | mfu: 0.1% | epoch: 1 | remaining: 12s    
step 00347 (95.9%) | loss: 4.180176 | lrm: 0.12 | dt: 945ms | tok/sec: 34,663 | mfu: 0.1% | epoch: 1 | remaining: 11s    
step 00348 (96.2%) | loss: 4.179190 | lrm: 0.11 | dt: 816ms | tok/sec: 40,133 | mfu: 0.1% | epoch: 1 | remaining: 11s    
step 00349 (96.5%) | loss: 4.179657 | lrm: 0.10 | dt: 804ms | tok/sec: 40,751 | mfu: 0.1% | epoch: 1 | remaining: 10s    
step 00350 (96.7%) | loss: 4.169051 | lrm: 0.09 | dt: 809ms | tok/sec: 40,515 | mfu: 0.1% | epoch: 1 | remaining: 9s    
step 00351 (97.0%) | loss: 4.159371 | lrm: 0.09 | dt: 914ms | tok/sec: 35,846 | mfu: 0.1% | epoch: 1 | remaining: 8s    
step 00352 (97.3%) | loss: 4.167222 | lrm: 0.08 | dt: 803ms | tok/sec: 40,828 | mfu: 0.1% | epoch: 1 | remaining: 7s    
step 00353 (97.6%) | loss: 4.171592 | lrm: 0.07 | dt: 813ms | tok/sec: 40,307 | mfu: 0.1% | epoch: 1 | remaining: 7s    
step 00354 (97.8%) | loss: 4.174346 | lrm: 0.06 | dt: 904ms | tok/sec: 36,258 | mfu: 0.1% | epoch: 1 | remaining: 6s    
step 00355 (98.1%) | loss: 4.163996 | lrm: 0.05 | dt: 805ms | tok/sec: 40,726 | mfu: 0.1% | epoch: 1 | remaining: 5s    
step 00356 (98.4%) | loss: 4.164697 | lrm: 0.05 | dt: 810ms | tok/sec: 40,436 | mfu: 0.1% | epoch: 1 | remaining: 4s    
step 00357 (98.7%) | loss: 4.164546 | lrm: 0.04 | dt: 801ms | tok/sec: 40,891 | mfu: 0.1% | epoch: 1 | remaining: 3s    
step 00358 (98.9%) | loss: 4.161488 | lrm: 0.03 | dt: 814ms | tok/sec: 40,265 | mfu: 0.1% | epoch: 1 | remaining: 2s    
step 00359 (99.2%) | loss: 4.146810 | lrm: 0.02 | dt: 913ms | tok/sec: 35,892 | mfu: 0.1% | epoch: 1 | remaining: 1s    
step 00360 (99.5%) | loss: 4.153250 | lrm: 0.01 | dt: 806ms | tok/sec: 40,667 | mfu: 0.1% | epoch: 1 | remaining: 1s    
step 00361 (99.8%) | loss: 4.142694 | lrm: 0.01 | dt: 817ms | tok/sec: 40,116 | mfu: 0.1% | epoch: 1 | remaining: 0s    
---
val_bpb:          1.479357
training_seconds: 300.2
total_seconds:    490.3
peak_vram_mb:     0.0
mfu_percent:      0.13
total_tokens_M:   11.9
num_steps:        362
num_params_M:     7.6
depth:            2
